@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-1

@attribute TypeOfBet {'MATCH ODDS','OVER / UNDER','ASIAN HANDICAP'}
@attribute Odds numeric
@attribute Liquidity numeric

@data
'OVER / UNDER',1.83,210.02033
'ASIAN HANDICAP',1.95,1988.948959
'ASIAN HANDICAP',1.85,1992.416897
'ASIAN HANDICAP',1.78,2075.506639
'MATCH ODDS',1.73,1765.4908
'MATCH ODDS',1.73,1765.4908
'MATCH ODDS',1.85,2022.598273
'OVER / UNDER',1.73,1766.707978
'ASIAN HANDICAP',2.08,1997.980707
'OVER / UNDER',1.91,1783.621296
'ASIAN HANDICAP',1.93,1956.75824
'ASIAN HANDICAP',1.91,2001.120256
'ASIAN HANDICAP',2.04,1953.753261
'MATCH ODDS',1.76,1801.516283
'MATCH ODDS',1.73,2022.598273
'MATCH ODDS',1.85,2022.598273
'OVER / UNDER',1.71,749.056645
'MATCH ODDS',1.68,1534.44541
'ASIAN HANDICAP',1.88,1937.033215
'MATCH ODDS',1.78,1768.998886
'ASIAN HANDICAP',1.85,749.056645
'ASIAN HANDICAP',1.81,1947.391547
'MATCH ODDS',1.8,1770.787666
'MATCH ODDS',1.97,1774.809767
